ID;CNPJ;Razão Social;Cidade;Estado;À vista;Status
1;04662874000165;OTICAS RIVAS LTDA. - ME;GOIANIA;GO;A Vista;Ativa
2;20876032000162;TABELIONATO DE NOTAS, TABELIONATO E OFICIALATO DE REGISTRO DE CONTRATOS MARITIMOS DE ANAPOLIS/GO;ANAPOLIS;GO;A Prazo;Inativa
3;04605182000185;LIMIT'S MOTORSPORTS EIRELI - ME;GOIANIA;GO;A Vista;Ativa
4;00897330000121;PAMONHARIA E SORVETERIA LTDA - ME;GOIANIA;GO;A Vista;Inativa
5;12237121000130;TREINAMENTOS & CURSOS LTDA - ME;RIO VERDE;GO;A Prazo;Ativa
6;04181395000127;MATERIAIS ELETRICOS LTDA - ME;GOIANIA;GO;A Prazo;Inativa
7;23103861000109;RT PARTICIPACOES LTDA;CURITIBA;PR;A Vista;Ativa
8;45576758000100;OFICIAL DE REGISTRO DE IMOVEIS DA CAPITAL;SAO PAULO;SP;A Vista;Inativa
9;17554143000148;COMUNICACAO E MARKETING LTDA - ME;FEIRA DE SANTANA;BA;A Prazo;Inativa
10;08691186000184;ARTE BELEZA E COSMETICOS LTDA - ME;GOIANIA;GO;A Vista;Ativa
11;20907009000198;ELEMENTOS ANUNCIOS EM JORNAIS E REVISTAS LTDA - EPP;SAO PAULO;SP;A Prazo;Ativa
12;09241814000192;ELLIS COMUNICACAO E PUBLICIDADE LTDA - ME;BRASILIA;DF;A Prazo;Ativa
13;18909859000183;IRMAOS ESTOFADOS LTDA - ME;GOIANIA;GO;A Vista;Inativa
14;13761995000155;L MATERIAIS DE CONSTRUCAO LTDA - ME;OURO VERDE DE GOIAS;GO;A Vista;Inativa
15;23851787000109;RIOS ALIMENTOS E BEBIDAS - EIRELI - EPP;GOIANIA;GO;A Vista;Inativa
16;19924747000164;HOTEIS HOLDING ARCO LTDA.;SAO PAULO;SP;A Vista;Ativa
17;19924718000100;DOIS HOTEIS PALMAS LTDA.;PALMAS;TO;A Prazo;Ativa
18;02997048000141;SERVICOS TECNICOS E PECAS PARA ELETRO LTDA. - ME;GOIANIA;GO;A Vista;Ativa
19;01405802000144;NOVIDADES COMERCIO DE PRESENTES LTDA - ME;GOIANIA;GO;A Prazo;Inativa
20;09600182000106;22 BATALHAO DE INFANTARIA;PALMAS;TO;A Prazo;Inativa
21;14085381000163;COM. VAREJISTA DE ROUPAS E PROD. PARA FESTAS LTDA - ME;ARAGUAINA;TO;A Prazo;Ativa
22;04554109000121;EDITORA & MARKETING LTDA - ME;APARECIDA DE GOIANIA;GO;A Vista;Ativa
23;12812932000118;IDIOMAS LTDA - ME;GOIANIA;GO;A Vista;Inativa
24;01982979000103;COMERCIO DE JOIAS LTDA - ME;GOIANIA;.;A Prazo;Ativa
25;10401948000102;FLY COMUNICACAO LTDA. - ME;GOIANIA;GO;A Prazo;Inativa
26;27513367000165;COMUNICACAO E PUBLICIDADE LTDA - EPP;BRASILIA;DF;A Vista;Ativa
27;22365962000187;REVESTIMENTOS E DECORACOES LTDA - EPP;GOIANIA;GO;A Vista;Inativa
28;07779361000127;MDAL PROMOCAO DE EVENTOS LTDA - ME;GOIANIA;GO;A Vista;Ativa
29;37168960000175;MM ELETRO TELECOMUNICACOES COMERCIO REPRESENTACAO LTDA;BRASILIA;DF;A Vista;Ativa
30;02022223000185;HEALTH CARE INTERLAR SISTEMA MEDICO DE HOSPITALIZACAO DOMICILIAR;BRASILIA;DF;A Vista;Inativa
